Age,Income,Occupation,Satisfaction
75,,Employed,4
55,61472.191362119534,Self-Employed,2
44,58182.60306443502,Student,5
82,35002.20057783972,Employed,2
52,51165.32934457263,Self-Employed,2
29,42034.39997234479,Retired,1
65,43867.214197932066,Retired,5
39,52063.13509223186,Retired,1
22,14877.749563219522,Employed,4
59,45975.43365650946,Self-Employed,4
70,9774.463268726227,Retired,3
43,,Employed,4
26,22538.269078459256,Self-Employed,5
68,55824.61011616085,Self-Employed,3
34,27322.724972072025,Self-Employed,4
36,77732.98583211238,Self-Employed,1
34,46542.388962309575,Employed,2
39,55833.83026235759,Employed,5
85,,Self-Employed,2
52,29897.240451332207,Employed,2
40,79564.25913281301,Self-Employed,5
35,,Student,5
40,34480.127479811905,Retired,1
18,55053.54276331772,Retired,5
23,53671.54895714439,Student,5
34,59351.769111546935,Self-Employed,3
38,58471.477660319215,Retired,1
80,38087.5018474564,Retired,4
45,61412.31907069313,Student,2
49,71842.0690958895,Self-Employed,4
87,,Employed,2
51,63080.33539995845,Self-Employed,3
20,74149.48970773462,Student,5
36,46030.59692138268,Student,5
51,58495.258714267955,Employed,2
31,61203.209157003985,Student,1
20,42988.12288052974,Retired,2
18,25181.721365187215,Student,3
47,57699.03995043906,Student,3
38,26949.85089247887,Student,5
52,,Retired,2
85,,Student,5
43,28505.73041055369,Student,5
62,51408.911118192766,Employed,2
86,42866.970447765205,Student,2
34,33264.68023067516,Retired,5
19,63377.45879180043,Student,2
29,57140.01239803921,Retired,3
63,56181.79896896357,Student,1
24,47223.18650324731,Student,2
51,18231.487366487592,Employed,1
61,70141.42178094598,Self-Employed,2
79,71597.3488408106,Self-Employed,5
74,40188.506487569626,Self-Employed,4
38,44372.16372653889,Self-Employed,4
73,35205.2273076791,Employed,1
89,48275.16580629471,Self-Employed,3
30,41445.522823191495,Self-Employed,4
67,73523.15371856447,Self-Employed,3
24,,Employed,1
79,99801.75893447474,Employed,2
69,,Employed,1
25,94776.75699231304,Student,4
77,83708.04744336287,Self-Employed,5
58,64671.88975511057,Employed,4
45,82638.1268638929,Student,4
22,-230.35111900775894,Self-Employed,4
79,,Self-Employed,2
33,28880.23857436618,Employed,4
28,40492.555245841584,Employed,4
23,44806.84597877133,Retired,2
49,62591.819289097824,Retired,3
66,54861.34036238975,Student,4
68,32970.887972453216,Employed,4
38,42018.20756587345,Self-Employed,4
43,88100.94237401421,Employed,1
23,48102.08984694524,Student,2
66,,Self-Employed,4
47,47412.05613317382,Retired,2
49,39702.349596594206,Employed,2
79,70603.47766825359,Student,3
34,49457.556430941906,Retired,3
73,55695.05124226626,Self-Employed,1
65,60146.529260589035,Self-Employed,3
80,52554.38181323185,Student,5
23,,Employed,1
36,35758.544602130445,Employed,5
47,48982.010518150644,Self-Employed,5
82,84943.95679861787,Employed,2
60,44695.08425250407,Employed,5
78,84401.71712385664,Retired,1
74,40398.67013555208,Self-Employed,4
52,54102.18027834824,Employed,5
85,69306.38795007249,Self-Employed,1
31,82252.34333599101,Employed,5
79,71825.04744372777,Self-Employed,2
29,75232.82923856935,Employed,3
24,44402.56717741199,Self-Employed,4
76,50007.1098600431,Employed,5
49,58972.215680111585,Retired,4
25,64205.47700559799,Self-Employed,3
22,26166.28702448444,Self-Employed,3
28,56702.381371396936,Student,1
54,111142.30719267986,Employed,5
86,61767.557046459,Retired,3
81,30091.222825398792,Employed,5
64,42674.03453617979,Retired,2
53,89355.28399847346,Self-Employed,4
70,69930.90921524116,Student,3
51,,Self-Employed,1
88,66343.50393295674,Retired,1
79,64101.920238182225,Self-Employed,2
77,30622.046935229144,Employed,1
34,16655.263753557956,Self-Employed,4
55,22123.805464861536,Retired,4
61,32495.481885862828,Self-Employed,3
48,77691.8812036199,Retired,4
32,75417.3011331005,Self-Employed,1
30,63389.85832913388,Employed,3
76,36998.195136537746,Student,4
27,29479.914519184964,Retired,2
89,,Student,1
58,19261.46172027568,Student,5
28,38255.19872191531,Self-Employed,3
60,61682.11229048888,Self-Employed,3
41,81988.83225213634,Retired,4
70,78069.29538907137,Self-Employed,5
72,42218.46206268564,Self-Employed,4
22,57446.27758685917,Student,3
80,60391.53528323743,Self-Employed,1
42,48489.15339719214,Retired,4
38,34787.599451275775,Employed,5
21,59583.343863177615,Employed,2
78,34174.620705740796,Self-Employed,2
68,77258.852868344,Employed,3
36,80929.81326390278,Self-Employed,1
24,59457.66762163341,Student,1
58,50034.45329084704,Self-Employed,2
23,38947.83382934449,Self-Employed,4
70,81727.33256106854,Student,2
43,39608.78265142958,Self-Employed,3
87,53969.7295797639,Self-Employed,4
78,45542.44430810632,Student,3
61,41335.11453452409,Retired,5
55,44520.72438797742,Self-Employed,3
62,75784.86205257918,Self-Employed,4
65,77454.7177958513,Employed,3
73,95488.4792386226,Employed,1
44,44342.75344472435,Student,3
23,14955.011282270045,Employed,2
18,54026.859263272614,Retired,5
63,19337.50989545259,Self-Employed,1
42,31350.748137770417,Employed,5
39,56518.665834229134,Self-Employed,5
61,67940.3850849304,Self-Employed,4
36,68400.99396596006,Retired,4
83,90923.58902043223,Self-Employed,2
56,61472.39273312911,Student,5
80,54759.103947356394,Self-Employed,4
28,76500.46049248992,Student,1
88,34108.94100470294,Student,1
37,59238.89574183398,Retired,5
60,76233.04180627584,Self-Employed,4
56,67905.00381246945,Student,3
46,73052.86115140046,Student,2
80,33050.06348556721,Retired,1
60,62109.382096939364,Retired,5
75,56645.93332811431,Self-Employed,1
24,41210.95030785301,Student,3
41,26823.177064981704,Employed,5
66,96659.64082739268,Student,3
76,64466.2777558265,Retired,1
24,59544.635385737034,Self-Employed,1
62,50809.11384895731,Self-Employed,4
52,36319.64722890276,Self-Employed,5
67,97604.53893095233,Student,1
28,56174.99021650013,Self-Employed,4
84,80363.09232911548,Student,2
89,61181.594338095696,Employed,1
44,47552.89508125515,Self-Employed,2
68,16565.593965993135,Employed,4
45,72343.95876121693,Employed,5
60,56067.064955487826,Employed,2
45,42146.67240212393,Self-Employed,5
71,76810.52455667302,Student,3
56,60627.95834276453,Employed,4
21,51397.651258638914,Employed,3
75,58003.86143315053,Retired,4
74,75355.83874687411,Retired,5
38,43027.01563628859,Employed,5
24,86938.07986593536,Student,3
73,36264.95166475006,Self-Employed,1
33,21629.531403158322,Retired,4
23,,Employed,5
67,42561.078018913286,Self-Employed,4
77,67755.25563570138,Self-Employed,2
52,73480.6915766565,Student,2
82,67025.2340922534,Student,5
78,56029.612361789324,Self-Employed,1
74,37038.879645067485,Self-Employed,4
37,38222.13371592464,Employed,1
64,,Retired,2
50,32214.14469029562,Employed,1
75,74447.73799984579,Employed,5
75,72352.03261132051,Employed,5
56,64712.657122533965,Self-Employed,1
79,52242.526372948225,Student,2
