Age,Income,Occupation,Satisfaction
4.330733340286331,46924.37814031202,Employed,4
4.02535169073515,61472.191362119534,Self-Employed,2
3.8066624897703196,58182.60306443502,Student,5
4.418840607796598,35002.20057783972,Employed,2
3.970291913552122,51165.32934457263,Self-Employed,2
3.4011973816621555,42034.39997234479,Retired,1
4.189654742026425,43867.214197932066,Retired,5
3.6888794541139363,52063.13509223186,Retired,1
3.1354942159291497,14877.749563219522,Employed,4
4.0943445622221,45975.43365650946,Self-Employed,4
4.2626798770413155,9774.463268726227,Retired,3
3.784189633918261,,Employed,4
3.295836866004329,22538.269078459256,Self-Employed,5
4.23410650459726,55824.61011616085,Self-Employed,3
3.5553480614894135,27322.724972072025,Self-Employed,4
3.6109179126442243,77732.98583211238,Self-Employed,1
3.5553480614894135,46542.388962309575,Employed,2
3.6888794541139363,55833.83026235759,Employed,5
4.454347296253507,,Self-Employed,2
3.970291913552122,29897.240451332207,Employed,2
3.713572066704308,79564.25913281301,Self-Employed,5
3.58351893845611,,Student,5
3.713572066704308,34480.127479811905,Retired,1
2.9444389791664403,55053.54276331772,Retired,5
3.1780538303479458,53671.54895714439,Student,5
3.5553480614894135,59351.769111546935,Self-Employed,3
3.6635616461296463,58471.477660319215,Retired,1
4.394449154672439,38087.5018474564,Retired,4
3.828641396489095,61412.31907069313,Student,2
3.912023005428146,71842.0690958895,Self-Employed,4
4.477336814478207,,Employed,2
3.9512437185814275,63080.33539995845,Self-Employed,3
3.044522437723423,74149.48970773462,Student,5
3.6109179126442243,46030.59692138268,Student,5
3.9512437185814275,58495.258714267955,Employed,2
3.4657359027997265,61203.209157003985,Student,1
3.044522437723423,42988.12288052974,Retired,2
2.9444389791664403,25181.721365187215,Student,3
3.871201010907891,57699.03995043906,Student,3
3.6635616461296463,26949.85089247887,Student,5
3.970291913552122,,Retired,2
4.454347296253507,,Student,5
3.784189633918261,28505.73041055369,Student,5
4.143134726391533,51408.911118192766,Employed,2
4.465908118654584,42866.970447765205,Student,2
3.5553480614894135,33264.68023067516,Retired,5
2.995732273553991,63377.45879180043,Student,2
3.4011973816621555,57140.01239803921,Retired,3
4.1588830833596715,56181.79896896357,Student,1
3.2188758248682006,47223.18650324731,Student,2
3.9512437185814275,18231.487366487592,Employed,1
4.127134385045092,70141.42178094598,Self-Employed,2
4.382026634673881,71597.3488408106,Self-Employed,5
4.31748811353631,40188.506487569626,Self-Employed,4
3.6635616461296463,44372.16372653889,Self-Employed,4
4.30406509320417,35205.2273076791,Employed,1
4.499809670330265,48275.16580629471,Self-Employed,3
3.4339872044851463,41445.522823191495,Self-Employed,4
4.219507705176107,73523.15371856447,Self-Employed,3
3.2188758248682006,,Employed,1
4.382026634673881,99801.75893447474,Employed,2
4.248495242049359,,Employed,1
3.258096538021482,94776.75699231304,Student,4
4.356708826689592,83708.04744336287,Self-Employed,5
4.07753744390572,64671.88975511057,Employed,4
3.828641396489095,82638.1268638929,Student,4
3.1354942159291497,-230.35111900775897,Self-Employed,4
4.382026634673881,,Self-Employed,2
3.5263605246161616,28880.23857436618,Employed,4
3.367295829986474,40492.555245841584,Employed,4
3.1780538303479458,44806.84597877133,Retired,2
3.912023005428146,62591.819289097824,Retired,3
4.204692619390966,54861.34036238975,Student,4
4.23410650459726,32970.887972453216,Employed,4
3.6635616461296463,42018.20756587345,Self-Employed,4
3.784189633918261,88100.94237401421,Employed,1
3.1780538303479458,48102.08984694524,Student,2
4.204692619390966,,Self-Employed,4
3.871201010907891,47412.05613317382,Retired,2
3.912023005428146,39702.349596594206,Employed,2
4.382026634673881,70603.47766825359,Student,3
3.5553480614894135,49457.556430941906,Retired,3
4.30406509320417,55695.05124226626,Self-Employed,1
4.189654742026425,60146.529260589035,Self-Employed,3
4.394449154672439,52554.38181323185,Student,5
3.1780538303479458,,Employed,1
3.6109179126442243,35758.544602130445,Employed,5
3.871201010907891,48982.01051815064,Self-Employed,5
4.418840607796598,84943.95679861787,Employed,2
4.110873864173311,44695.08425250407,Employed,5
4.3694478524670215,84401.71712385664,Retired,1
4.31748811353631,40398.67013555208,Self-Employed,4
3.970291913552122,54102.18027834824,Employed,5
4.454347296253507,69306.38795007249,Self-Employed,1
3.4657359027997265,82252.34333599101,Employed,5
4.382026634673881,71825.04744372777,Self-Employed,2
3.4011973816621555,75232.82923856935,Employed,3
3.2188758248682006,44402.56717741199,Self-Employed,4
4.343805421853684,50007.1098600431,Employed,5
3.912023005428146,58972.215680111585,Retired,4
3.258096538021482,64205.47700559799,Self-Employed,3
3.1354942159291497,26166.28702448444,Self-Employed,3
3.367295829986474,56702.381371396936,Student,1
4.007333185232471,111142.30719267986,Employed,5
4.465908118654584,61767.557046459,Retired,3
4.406719247264253,30091.222825398792,Employed,5
4.174387269895637,42674.03453617979,Retired,2
3.9889840465642745,89355.28399847346,Self-Employed,4
4.2626798770413155,69930.90921524116,Student,3
3.9512437185814275,,Self-Employed,1
4.48863636973214,66343.50393295674,Retired,1
4.382026634673881,64101.920238182225,Self-Employed,2
4.356708826689592,30622.046935229144,Employed,1
3.5553480614894135,16655.263753557956,Self-Employed,4
4.02535169073515,22123.805464861536,Retired,4
4.127134385045092,32495.481885862828,Self-Employed,3
3.8918202981106265,77691.8812036199,Retired,4
3.4965075614664802,75417.3011331005,Self-Employed,1
3.4339872044851463,63389.85832913388,Employed,3
4.343805421853684,36998.195136537746,Student,4
3.332204510175204,29479.914519184964,Retired,2
4.499809670330265,,Student,1
4.07753744390572,19261.46172027568,Student,5
3.367295829986474,38255.19872191531,Self-Employed,3
4.110873864173311,61682.11229048888,Self-Employed,3
3.7376696182833684,81988.83225213634,Retired,4
4.2626798770413155,78069.29538907137,Self-Employed,5
4.290459441148391,42218.46206268564,Self-Employed,4
3.1354942159291497,57446.27758685917,Student,3
4.394449154672439,60391.53528323743,Self-Employed,1
3.7612001156935624,48489.15339719214,Retired,4
3.6635616461296463,34787.599451275775,Employed,5
3.091042453358316,59583.343863177615,Employed,2
4.3694478524670215,34174.620705740796,Self-Employed,2
4.23410650459726,77258.852868344,Employed,3
3.6109179126442243,80929.81326390278,Self-Employed,1
3.2188758248682006,59457.66762163341,Student,1
4.07753744390572,50034.45329084704,Self-Employed,2
3.1780538303479458,38947.83382934449,Self-Employed,4
4.2626798770413155,81727.33256106854,Student,2
3.784189633918261,39608.78265142958,Self-Employed,3
4.477336814478207,53969.7295797639,Self-Employed,4
4.3694478524670215,45542.44430810632,Student,3
4.127134385045092,41335.11453452409,Retired,5
4.02535169073515,44520.72438797742,Self-Employed,3
4.143134726391533,75784.86205257918,Self-Employed,4
4.189654742026425,77454.7177958513,Employed,3
4.30406509320417,95488.4792386226,Employed,1
3.8066624897703196,44342.75344472435,Student,3
3.1780538303479458,14955.011282270045,Employed,2
2.9444389791664403,54026.859263272614,Retired,5
4.1588830833596715,19337.50989545259,Self-Employed,1
3.7612001156935624,31350.748137770417,Employed,5
3.6888794541139363,56518.665834229134,Self-Employed,5
4.127134385045092,67940.3850849304,Self-Employed,4
3.6109179126442243,68400.99396596006,Retired,4
4.430816798843313,90923.58902043223,Self-Employed,2
4.04305126783455,61472.39273312911,Student,5
4.394449154672439,54759.103947356394,Self-Employed,4
3.367295829986474,76500.46049248992,Student,1
4.48863636973214,34108.94100470294,Student,1
